Episode,Blue_Score,Red_Score,Blue_Patched,Red_Infected
481,44,24,6,2
482,65,13,7,1
483,68,6,7,1
484,63,27,7,3
485,52,28,5,2
486,36,10,6,2
487,45,27,6,3
488,51,7,6,2
489,39,-2,7,2
490,30,16,7,2
491,39,11,6,1
492,74,60,6,4
493,41,50,6,6
494,52,30,6,2
495,76,17,7,3
496,54,14,6,2
497,82,48,7,4
498,54,8,7,1
499,62,5,7,2
500,59,13,6,1
501,34,-2,6,0
502,64,23,7,2
503,64,11,7,2
504,65,-4,7,0
505,85,18,7,2
506,60,13,6,1
507,69,18,7,2
508,61,1,7,1
509,83,0,7,0
510,18,41,6,4
511,49,14,7,2
512,75,10,7,1
513,35,9,6,2
514,41,15,7,1
515,65,33,7,3
516,48,41,6,4
517,28,0,5,0
518,48,15,7,1
519,64,26,7,3
520,41,3,6,1
521,49,6,7,1
522,40,13,7,1
523,89,5,7,1
524,34,31,6,5
525,63,5,6,1
526,61,-2,7,0
527,49,11,6,1
528,68,10,6,1
529,85,12,7,3
530,38,23,7,2
531,62,29,7,3
532,24,11,6,1
533,35,13,6,1
534,54,30,7,2
535,55,23,6,2
536,90,-2,7,0
537,71,33,7,3
538,61,24,7,3
539,33,37,5,5
540,47,46,7,4
541,57,14,7,2
542,65,45,7,3
543,65,28,7,2
544,56,28,7,2
545,56,21,7,3
546,52,27,6,4
547,-19,40,7,4
548,72,21,6,2
549,36,15,7,1
550,75,14,7,3
551,-21,11,5,1
552,54,36,7,4
553,45,-2,6,0
554,60,-4,6,0
555,33,16,7,2
556,62,15,7,1
557,81,0,7,0
558,55,33,7,4
559,61,17,7,3
560,56,29,6,3
561,66,-2,7,0
562,18,9,6,2
563,58,-2,7,0
564,42,13,6,1
565,77,1,7,1
566,59,14,6,2
567,48,18,6,4
568,41,26,7,3
569,89,31,7,3
570,41,34,7,4
571,64,13,7,1
572,73,18,7,2
573,72,44,7,4
574,58,14,7,2
575,68,15,7,1
576,66,0,7,0
577,62,-1,7,1
578,73,7,7,2
579,36,14,7,2
580,54,32,7,4
581,56,53,7,5
582,49,41,6,4
583,66,27,7,3
584,75,0,7,0
585,39,14,7,2
586,92,28,7,2
587,21,-2,6,0
588,68,10,6,2
589,73,30,7,2
