Episode,RL_Team,Random_Agent,Greedy_Agent,Q_States
715,83,-4,79,5846
716,15,14,53,5854
717,91,17,64,5855
718,33,32,37,5856
719,74,50,75,5858
720,72,31,56,5859
721,55,-21,65,5871
722,73,30,58,5873
723,34,-1,54,5875
724,35,20,56,5879
725,86,41,54,5884
726,75,10,61,5885
727,2,18,45,5894
728,53,55,56,5897
729,102,13,22,5899
730,21,10,53,5900
731,58,70,47,5906
732,61,49,66,5907
733,27,33,46,5912
734,99,51,53,5914
735,81,35,41,5916
736,63,31,60,5921
737,31,-14,50,5926
738,43,37,67,5933
739,69,-6,69,5934
740,62,54,53,5935
741,59,14,35,5938
742,45,0,65,5939
743,55,25,18,5941
744,73,11,27,5942
745,53,6,40,5948
746,94,13,50,5951
747,68,32,71,5952
748,68,35,42,5953
749,29,-17,52,5955
750,68,85,66,5959
751,76,54,72,5961
752,80,45,16,5964
753,33,16,39,5972
754,50,0,63,5984
755,51,6,63,5985
756,52,21,61,5989
757,93,41,46,5991
758,84,43,41,5993
759,107,9,33,5996
760,43,11,65,5999
761,91,4,37,6001
762,51,16,40,6005
763,31,18,80,6007
764,73,0,49,6008
765,65,44,56,6012
766,95,8,68,6014
767,49,18,35,6017
768,101,16,41,6019
769,58,41,38,6019
770,42,19,52,6022
771,59,50,49,6027
772,30,-32,53,6028
773,93,45,35,6029
774,91,53,57,6030
775,-8,34,38,6034
776,90,27,41,6035
777,41,38,54,6036
778,67,37,61,6039
779,43,-29,46,6041
780,69,32,57,6043
781,77,29,72,6046
782,37,44,28,6050
783,13,64,60,6057
784,76,22,45,6060
785,70,-3,58,6069
786,76,42,87,6069
787,74,12,63,6070
788,64,28,57,6070
789,85,10,55,6071
790,63,-6,87,6074
791,46,26,41,6078
792,101,20,15,6079
793,77,38,30,6081
794,122,25,56,6082
795,78,22,55,6083
796,14,26,63,6083
797,43,35,48,6092
798,22,59,90,6100
799,97,63,69,6103
800,25,45,52,6112
801,115,33,66,6113
802,52,-16,45,6115
803,38,40,67,6117
804,52,48,65,6120
805,30,14,57,6121
806,102,20,41,6123
807,31,34,49,6127
808,79,37,46,6127
809,78,54,51,6134
810,34,9,61,6142
811,56,33,86,6149
812,102,-1,74,6150
813,7,53,50,6151
814,83,32,60,6155
815,89,24,46,6159
816,55,25,44,6165
817,87,22,51,6166
818,104,1,69,6167
819,55,21,52,6172
820,14,29,62,6177
821,33,23,68,6181
822,44,24,48,6186
823,98,66,45,6186
824,37,23,39,6188
825,70,18,25,6192
826,100,0,40,6194
827,45,1,36,6196
828,39,48,63,6209
829,36,69,68,6213
830,91,34,75,6213
831,60,51,58,6218
832,91,9,66,6219
833,51,51,46,6221
834,81,38,46,6223
835,61,37,64,6228
836,98,-16,53,6229
837,94,18,44,6230
838,39,12,68,6237
839,61,38,46,6238
840,105,4,83,6238
841,83,58,58,6239
842,81,10,56,6239
843,48,1,52,6248
844,64,36,22,6251
845,103,52,53,6251
846,104,57,8,6252
847,68,29,60,6257
848,48,48,59,6257
849,57,38,33,6260
850,10,-1,59,6272
851,27,25,57,6275
852,69,29,33,6279
853,70,-21,34,6281
854,114,18,43,6283
855,83,38,45,6285
856,88,66,53,6285
857,20,41,86,6290
858,42,33,54,6294
859,36,25,19,6310
860,66,10,74,6311
861,21,6,64,6312
862,23,44,69,6317
863,28,29,67,6326
864,33,22,74,6330
865,40,26,84,6330
866,49,33,67,6330
867,19,28,50,6337
868,21,58,33,6340
869,34,26,70,6347
870,46,59,59,6350
871,75,31,50,6354
872,84,48,36,6357
873,62,36,42,6359
874,105,69,52,6363
875,71,-12,82,6364
876,31,30,58,6375
877,45,22,57,6375
878,46,51,31,6375
879,57,32,56,6375
880,24,39,49,6386
881,29,33,51,6393
882,49,36,72,6396
883,58,10,34,6401
884,93,35,52,6404
885,75,36,68,6405
886,90,24,58,6405
887,32,19,75,6407
888,71,11,61,6409
889,77,19,44,6411
890,84,20,60,6413
891,92,33,59,6413
892,38,48,50,6416
893,82,12,28,6416
894,120,-10,61,6417
895,61,52,59,6422
896,83,74,70,6426
897,76,46,39,6429
898,49,72,71,6429
899,7,32,53,6432
900,45,32,47,6433
901,36,21,52,6436
902,68,37,32,6441
903,67,21,67,6441
904,103,14,63,6441
905,33,3,67,6443
906,73,48,68,6444
907,28,54,67,6452
908,73,32,65,6453
909,19,8,67,6463
910,71,72,75,6468
911,20,39,46,6479
912,44,15,35,6487
913,90,25,11,6488
914,65,66,82,6489
915,61,-28,42,6495
916,95,58,65,6498
917,68,19,47,6500
918,94,17,58,6504
919,69,-3,42,6507
920,52,8,61,6507
921,84,22,81,6508
922,26,11,44,6518
923,41,31,39,6527
924,27,43,55,6535
925,100,41,46,6536
926,97,1,62,6537
927,108,-7,57,6537
928,107,17,72,6537
929,76,0,44,6538
930,47,31,53,6539
931,107,-21,65,6539
932,29,26,39,6544
933,41,56,71,6547
934,71,42,40,6547
935,73,24,30,6550
936,69,-4,69,6553
937,28,33,72,6566
938,17,22,50,6581
939,87,33,43,6581
940,57,21,32,6589
941,50,13,36,6592
942,23,18,54,6605
943,82,15,59,6607
944,23,41,49,6617
945,67,22,60,6621
946,60,26,41,6624
947,44,23,50,6629
948,48,-10,49,6637
949,56,-6,33,6639
950,45,15,46,6643
951,78,44,34,6644
952,107,50,61,6646
953,49,14,45,6650
954,52,48,46,6653
955,58,17,68,6654
956,21,46,39,6659
957,63,37,96,6661
958,60,3,55,6664
959,36,32,61,6665
960,71,41,84,6670
961,70,30,33,6672
962,61,9,56,6672
963,39,25,56,6676
964,18,44,71,6682
965,104,21,54,6685
966,65,42,72,6691
967,72,17,64,6693
968,42,40,9,6696
969,33,31,70,6703
970,77,18,55,6707
971,55,5,73,6710
972,88,21,76,6713
973,77,1,51,6715
974,12,16,46,6720
975,52,24,44,6724
976,101,15,50,6724
977,16,2,61,6736
978,39,55,60,6738
979,84,33,57,6739
980,56,15,44,6740
981,70,27,32,6741
982,35,22,57,6747
983,74,68,30,6756
984,57,-9,49,6758
985,66,18,47,6758
986,88,35,67,6760
987,88,59,61,6761
988,34,-4,53,6764
989,71,55,53,6765
990,63,39,49,6771
991,54,53,43,6772
992,58,31,50,6775
993,14,3,23,6789
994,50,23,48,6791
995,58,6,55,6792
996,50,46,51,6794
997,76,45,27,6795
998,61,15,33,6796
999,63,9,57,6798
1000,46,10,46,6802
1001,57,27,42,6807
1002,54,-10,46,6810
1003,54,11,64,6813
1004,69,9,56,6814
1005,65,23,68,6817
1006,103,40,54,6817
1007,16,21,55,6824
1008,84,32,53,6827
1009,34,33,52,6829
1010,33,28,66,6831
1011,77,32,57,6833
1012,15,20,60,6837
1013,76,8,79,6838
1014,64,42,63,6838
1015,69,33,63,6839
1016,83,49,80,6840
1017,26,24,79,6843
1018,48,24,52,6846
1019,30,35,43,6853
1020,22,59,70,6860
1021,56,32,54,6861
1022,23,36,61,6870
1023,51,52,77,6872
1024,82,4,47,6873
1025,76,43,63,6873
1026,90,46,86,6873
1027,57,36,46,6875
1028,63,45,49,6879
1029,60,33,52,6883
1030,40,22,50,6891
1031,60,19,71,6892
1032,70,2,39,6892
1033,63,26,39,6896
1034,100,24,45,6896
1035,67,21,52,6898
1036,78,41,64,6900
1037,58,28,64,6902
1038,112,49,69,6904
1039,84,16,35,6906
1040,94,34,59,6906
1041,33,21,54,6909
1042,89,27,59,6911
1043,80,-5,82,6914
1044,51,28,62,6918
1045,53,2,40,6920
1046,60,33,57,6921
1047,110,32,57,6921
1048,57,22,38,6924
1049,44,69,36,6927
1050,79,-9,70,6931
1051,25,20,41,6936
1052,82,33,49,6936
1053,71,11,73,6938
1054,50,57,42,6941
1055,52,42,54,6945
1056,77,42,50,6946
1057,99,0,68,6947
1058,61,13,44,6949
1059,106,10,73,6950
1060,10,47,56,6961
1061,53,58,44,6970
1062,40,28,42,6975
1063,37,14,66,6989
1064,42,25,49,6989
1065,20,25,48,6991
1066,91,16,42,6992
1067,39,13,40,7003
1068,83,37,50,7003
1069,38,27,49,7006
1070,75,34,51,7006
1071,83,33,72,7006
1072,64,67,69,7008
1073,70,8,83,7011
1074,75,27,68,7017
1075,69,40,43,7020
1076,55,11,38,7022
1077,61,7,68,7028
1078,20,-12,48,7029
1079,105,22,61,7030
1080,64,33,50,7032
1081,66,51,83,7033
1082,63,39,65,7034
1083,40,16,41,7039
1084,107,-14,59,7039
1085,84,-6,65,7040
1086,83,39,75,7044
1087,46,50,66,7046
1088,48,-6,61,7049
1089,79,-9,37,7050
1090,11,6,38,7052
1091,39,12,60,7054
1092,61,41,58,7059
1093,72,14,47,7060
1094,106,11,57,7060
1095,13,0,68,7064
1096,26,52,77,7068
1097,95,46,46,7069
1098,53,-15,66,7071
1099,74,26,38,7071
1100,14,51,33,7080
1101,62,19,44,7080
1102,80,-7,42,7081
1103,31,13,63,7084
1104,85,5,55,7084
1105,41,29,3,7091
1106,126,46,102,7091
1107,75,-8,79,7094
1108,76,13,55,7096
1109,73,42,45,7098
1110,46,35,67,7100
1111,37,38,51,7112
1112,28,36,46,7118
1113,78,51,48,7120
1114,-5,53,60,7131
1115,23,45,72,7133
1116,34,53,48,7141
1117,59,28,58,7144
1118,30,28,60,7149
1119,47,35,60,7157
1120,68,38,51,7158
1121,74,28,65,7160
1122,56,23,36,7162
1123,87,19,62,7164
1124,73,29,50,7165
1125,68,27,77,7168
1126,105,18,47,7170
1127,35,58,60,7174
1128,67,34,69,7174
1129,70,39,60,7176
1130,63,23,70,7178
1131,53,30,68,7179
1132,79,-3,59,7180
1133,-7,11,24,7190
1134,0,51,48,7195
1135,31,30,58,7201
1136,61,31,41,7203
1137,76,9,84,7211
1138,27,61,42,7212
1139,70,68,52,7214
1140,46,18,48,7215
1141,32,38,65,7223
1142,65,39,72,7230
1143,67,25,72,7230
1144,66,29,92,7232
1145,93,52,62,7233
1146,45,14,52,7234
1147,102,5,73,7234
1148,38,30,57,7236
1149,29,31,41,7237
1150,73,30,35,7237
1151,59,12,80,7237
1152,32,15,79,7239
1153,35,28,55,7241
1154,34,32,74,7249
1155,94,34,55,7249
1156,68,21,66,7252
1157,63,31,91,7252
1158,110,47,52,7253
1159,36,5,56,7256
1160,39,-4,49,7261
1161,61,39,64,7269
1162,108,27,56,7269
1163,76,42,57,7271
1164,61,24,57,7272
1165,14,24,16,7276
1166,72,31,58,7280
1167,73,51,50,7283
1168,42,61,79,7288
1169,49,32,46,7290
1170,63,9,51,7292
1171,71,31,59,7292
1172,89,33,60,7293
1173,90,-2,71,7293
1174,64,18,49,7294
1175,77,-10,69,7295
1176,66,34,68,7297
1177,50,30,47,7299
1178,92,37,54,7299
1179,30,43,51,7304
1180,69,6,67,7306
1181,121,27,49,7306
1182,36,57,71,7307
1183,75,18,43,7310
1184,57,51,47,7313
1185,82,18,56,7314
1186,61,41,78,7314
1187,49,26,45,7321
1188,45,30,75,7323
1189,46,31,50,7326
1190,81,41,56,7326
1191,63,49,45,7330
1192,49,30,44,7336
1193,82,2,54,7337
1194,81,36,47,7339
1195,89,16,51,7339
1196,54,0,47,7340
1197,84,40,85,7341
1198,83,47,54,7341
1199,51,73,72,7353
1200,54,34,52,7357
1201,97,19,28,7358
1202,41,48,58,7362
1203,32,-1,62,7369
1204,34,48,68,7378
1205,64,25,80,7378
1206,83,22,79,7378
1207,61,6,66,7379
1208,17,27,78,7382
1209,78,18,86,7384
1210,102,24,73,7384
1211,103,68,52,7384
1212,34,22,55,7389
1213,75,28,33,7390
1214,33,9,52,7395
1215,39,40,45,7401
1216,127,5,47,7401
1217,50,34,67,7401
1218,41,62,70,7401
1219,71,40,49,7403
1220,69,38,65,7403
1221,0,20,66,7407
1222,40,30,77,7410
1223,23,54,54,7414
1224,30,0,61,7416
1225,61,43,64,7421
1226,48,43,57,7421
1227,59,15,53,7424
1228,29,20,49,7426
1229,21,21,34,7432
1230,53,55,34,7434
1231,56,21,77,7435
1232,114,51,66,7438
1233,95,20,49,7438
1234,43,41,63,7438
1235,95,33,36,7439
1236,64,23,96,7439
1237,36,22,64,7441
1238,82,31,67,7442
